Date,Day,Month,Year,Is_Trading_Day,Market_Open,Market_Close,Status,Description
2/17/2025,Monday,February,2025,TRUE,9:15:00,15:30:00,TRADING,
2/18/2025,Tuesday,February,2025,TRUE,9:15:00,15:30:00,TRADING,
2/19/2025,Wednesday,February,2025,TRUE,9:15:00,15:30:00,TRADING,
2/20/2025,Thursday,February,2025,TRUE,9:15:00,15:30:00,TRADING,
2/21/2025,Friday,February,2025,TRUE,9:15:00,15:30:00,TRADING,
2/22/2025,Saturday,February,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
2/23/2025,Sunday,February,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
2/24/2025,Monday,February,2025,TRUE,9:15:00,15:30:00,TRADING,
2/25/2025,Tuesday,February,2025,TRUE,9:15:00,15:30:00,TRADING,
2/26/2025,Wednesday,February,2025,FALSE,CLOSED,CLOSED,CLOSED,Mahashivratri
2/27/2025,Thursday,February,2025,TRUE,9:15:00,15:30:00,TRADING,
2/28/2025,Friday,February,2025,TRUE,9:15:00,15:30:00,TRADING,
3/1/2025,Saturday,March,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
3/2/2025,Sunday,March,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
3/3/2025,Monday,March,2025,TRUE,9:15:00,15:30:00,TRADING,
3/4/2025,Tuesday,March,2025,TRUE,9:15:00,15:30:00,TRADING,
3/5/2025,Wednesday,March,2025,TRUE,9:15:00,15:30:00,TRADING,
3/6/2025,Thursday,March,2025,TRUE,9:15:00,15:30:00,TRADING,
3/7/2025,Friday,March,2025,TRUE,9:15:00,15:30:00,TRADING,
3/8/2025,Saturday,March,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
3/9/2025,Sunday,March,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
3/10/2025,Monday,March,2025,TRUE,9:15:00,15:30:00,TRADING,
3/11/2025,Tuesday,March,2025,TRUE,9:15:00,15:30:00,TRADING,
3/12/2025,Wednesday,March,2025,TRUE,9:15:00,15:30:00,TRADING,
3/13/2025,Thursday,March,2025,TRUE,9:15:00,15:30:00,TRADING,
3/14/2025,Friday,March,2025,FALSE,CLOSED,CLOSED,CLOSED,Holi
3/15/2025,Saturday,March,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
3/16/2025,Sunday,March,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
3/17/2025,Monday,March,2025,TRUE,9:15:00,15:30:00,TRADING,
3/18/2025,Tuesday,March,2025,TRUE,9:15:00,15:30:00,TRADING,
3/19/2025,Wednesday,March,2025,TRUE,9:15:00,15:30:00,TRADING,
3/20/2025,Thursday,March,2025,TRUE,9:15:00,15:30:00,TRADING,
3/21/2025,Friday,March,2025,TRUE,9:15:00,15:30:00,TRADING,
3/22/2025,Saturday,March,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
3/23/2025,Sunday,March,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
3/24/2025,Monday,March,2025,TRUE,9:15:00,15:30:00,TRADING,
3/25/2025,Tuesday,March,2025,TRUE,9:15:00,15:30:00,TRADING,
3/26/2025,Wednesday,March,2025,TRUE,9:15:00,15:30:00,TRADING,
3/27/2025,Thursday,March,2025,TRUE,9:15:00,15:30:00,TRADING,
3/28/2025,Friday,March,2025,TRUE,9:15:00,15:30:00,TRADING,
3/29/2025,Saturday,March,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
3/30/2025,Sunday,March,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
3/31/2025,Monday,March,2025,FALSE,CLOSED,CLOSED,CLOSED,Id-Ul-Fitr (Ramadan Eid)
4/1/2025,Tuesday,April,2025,TRUE,9:15:00,15:30:00,TRADING,
4/2/2025,Wednesday,April,2025,TRUE,9:15:00,15:30:00,TRADING,
4/3/2025,Thursday,April,2025,TRUE,9:15:00,15:30:00,TRADING,
4/4/2025,Friday,April,2025,TRUE,9:15:00,15:30:00,TRADING,
4/5/2025,Saturday,April,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
4/6/2025,Sunday,April,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
4/7/2025,Monday,April,2025,TRUE,9:15:00,15:30:00,TRADING,
4/8/2025,Tuesday,April,2025,TRUE,9:15:00,15:30:00,TRADING,
4/9/2025,Wednesday,April,2025,TRUE,9:15:00,15:30:00,TRADING,
4/10/2025,Thursday,April,2025,FALSE,CLOSED,CLOSED,CLOSED,Shri Mahavir Jayanti
4/11/2025,Friday,April,2025,TRUE,9:15:00,15:30:00,TRADING,
4/12/2025,Saturday,April,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
4/13/2025,Sunday,April,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
4/14/2025,Monday,April,2025,FALSE,CLOSED,CLOSED,CLOSED,Dr. Baba Saheb Ambedkar Jayanti
4/15/2025,Tuesday,April,2025,TRUE,9:15:00,15:30:00,TRADING,
4/16/2025,Wednesday,April,2025,TRUE,9:15:00,15:30:00,TRADING,
4/17/2025,Thursday,April,2025,TRUE,9:15:00,15:30:00,TRADING,
4/18/2025,Friday,April,2025,FALSE,CLOSED,CLOSED,CLOSED,Good Friday
4/19/2025,Saturday,April,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
4/20/2025,Sunday,April,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
4/21/2025,Monday,April,2025,TRUE,9:15:00,15:30:00,TRADING,
4/22/2025,Tuesday,April,2025,TRUE,9:15:00,15:30:00,TRADING,
4/23/2025,Wednesday,April,2025,TRUE,9:15:00,15:30:00,TRADING,
4/24/2025,Thursday,April,2025,TRUE,9:15:00,15:30:00,TRADING,
4/25/2025,Friday,April,2025,TRUE,9:15:00,15:30:00,TRADING,
4/26/2025,Saturday,April,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
4/27/2025,Sunday,April,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
4/28/2025,Monday,April,2025,TRUE,9:15:00,15:30:00,TRADING,
4/29/2025,Tuesday,April,2025,TRUE,9:15:00,15:30:00,TRADING,
4/30/2025,Wednesday,April,2025,TRUE,9:15:00,15:30:00,TRADING,
5/1/2025,Thursday,May,2025,FALSE,CLOSED,CLOSED,CLOSED,Maharashtra Day
5/2/2025,Friday,May,2025,TRUE,9:15:00,15:30:00,TRADING,
5/3/2025,Saturday,May,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
5/4/2025,Sunday,May,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
5/5/2025,Monday,May,2025,TRUE,9:15:00,15:30:00,TRADING,
5/6/2025,Tuesday,May,2025,TRUE,9:15:00,15:30:00,TRADING,
5/7/2025,Wednesday,May,2025,TRUE,9:15:00,15:30:00,TRADING,
5/8/2025,Thursday,May,2025,TRUE,9:15:00,15:30:00,TRADING,
5/9/2025,Friday,May,2025,TRUE,9:15:00,15:30:00,TRADING,
5/10/2025,Saturday,May,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
5/11/2025,Sunday,May,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
5/12/2025,Monday,May,2025,TRUE,9:15:00,15:30:00,TRADING,
5/13/2025,Tuesday,May,2025,TRUE,9:15:00,15:30:00,TRADING,
5/14/2025,Wednesday,May,2025,TRUE,9:15:00,15:30:00,TRADING,
5/15/2025,Thursday,May,2025,TRUE,9:15:00,15:30:00,TRADING,
5/16/2025,Friday,May,2025,TRUE,9:15:00,15:30:00,TRADING,
5/17/2025,Saturday,May,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
5/18/2025,Sunday,May,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
5/19/2025,Monday,May,2025,TRUE,9:15:00,15:30:00,TRADING,
5/20/2025,Tuesday,May,2025,TRUE,9:15:00,15:30:00,TRADING,
5/21/2025,Wednesday,May,2025,TRUE,9:15:00,15:30:00,TRADING,
5/22/2025,Thursday,May,2025,TRUE,9:15:00,15:30:00,TRADING,
5/23/2025,Friday,May,2025,TRUE,9:15:00,15:30:00,TRADING,
5/24/2025,Saturday,May,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
5/25/2025,Sunday,May,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
5/26/2025,Monday,May,2025,TRUE,9:15:00,15:30:00,TRADING,
5/27/2025,Tuesday,May,2025,TRUE,9:15:00,15:30:00,TRADING,
5/28/2025,Wednesday,May,2025,TRUE,9:15:00,15:30:00,TRADING,
5/29/2025,Thursday,May,2025,TRUE,9:15:00,15:30:00,TRADING,
5/30/2025,Friday,May,2025,TRUE,9:15:00,15:30:00,TRADING,
5/31/2025,Saturday,May,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
6/1/2025,Sunday,June,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
6/2/2025,Monday,June,2025,TRUE,9:15:00,15:30:00,TRADING,
6/3/2025,Tuesday,June,2025,TRUE,9:15:00,15:30:00,TRADING,
6/4/2025,Wednesday,June,2025,TRUE,9:15:00,15:30:00,TRADING,
6/5/2025,Thursday,June,2025,TRUE,9:15:00,15:30:00,TRADING,
6/6/2025,Friday,June,2025,TRUE,9:15:00,15:30:00,TRADING,
6/7/2025,Saturday,June,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
6/8/2025,Sunday,June,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
6/9/2025,Monday,June,2025,TRUE,9:15:00,15:30:00,TRADING,
6/10/2025,Tuesday,June,2025,TRUE,9:15:00,15:30:00,TRADING,
6/11/2025,Wednesday,June,2025,TRUE,9:15:00,15:30:00,TRADING,
6/12/2025,Thursday,June,2025,TRUE,9:15:00,15:30:00,TRADING,
6/13/2025,Friday,June,2025,TRUE,9:15:00,15:30:00,TRADING,
6/14/2025,Saturday,June,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
6/15/2025,Sunday,June,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
6/16/2025,Monday,June,2025,TRUE,9:15:00,15:30:00,TRADING,
6/17/2025,Tuesday,June,2025,TRUE,9:15:00,15:30:00,TRADING,
6/18/2025,Wednesday,June,2025,TRUE,9:15:00,15:30:00,TRADING,
