Date,Day,Month,Year,Is_Trading_Day,Market_Open,Market_Close,Status
2024-05-18,Saturday,May,2024,False,CLOSED,CLOSED,HOLIDAY
2024-05-19,Sunday,May,2024,False,CLOSED,CLOSED,HOLIDAY
2024-05-20,Monday,May,2024,False,CLOSED,CLOSED,HOLIDAY
2024-05-21,Tuesday,May,2024,True,09:15:00,15:30:00,TRADING
2024-05-22,Wednesday,May,2024,True,09:15:00,15:30:00,TRADING
2024-05-23,Thursday,May,2024,True,09:15:00,15:30:00,TRADING
2024-05-24,Friday,May,2024,True,09:15:00,15:30:00,TRADING
2024-05-25,Saturday,May,2024,False,CLOSED,CLOSED,HOLIDAY
2024-05-26,Sunday,May,2024,False,CLOSED,CLOSED,HOLIDAY
2024-05-27,Monday,May,2024,True,09:15:00,15:30:00,TRADING
2024-05-28,Tuesday,May,2024,True,09:15:00,15:30:00,TRADING
2024-05-29,Wednesday,May,2024,True,09:15:00,15:30:00,TRADING
2024-05-30,Thursday,May,2024,True,09:15:00,15:30:00,TRADING
2024-05-31,Friday,May,2024,True,09:15:00,15:30:00,TRADING
2024-06-01,Saturday,June,2024,False,CLOSED,CLOSED,HOLIDAY
2024-06-02,Sunday,June,2024,False,CLOSED,CLOSED,HOLIDAY
2024-06-03,Monday,June,2024,True,09:15:00,15:30:00,TRADING
2024-06-04,Tuesday,June,2024,True,09:15:00,15:30:00,TRADING
2024-06-05,Wednesday,June,2024,True,09:15:00,15:30:00,TRADING
2024-06-06,Thursday,June,2024,True,09:15:00,15:30:00,TRADING
2024-06-07,Friday,June,2024,True,09:15:00,15:30:00,TRADING
2024-06-08,Saturday,June,2024,False,CLOSED,CLOSED,HOLIDAY
2024-06-09,Sunday,June,2024,False,CLOSED,CLOSED,HOLIDAY
2024-06-10,Monday,June,2024,True,09:15:00,15:30:00,TRADING
2024-06-11,Tuesday,June,2024,True,09:15:00,15:30:00,TRADING
2024-06-12,Wednesday,June,2024,True,09:15:00,15:30:00,TRADING
2024-06-13,Thursday,June,2024,True,09:15:00,15:30:00,TRADING
2024-06-14,Friday,June,2024,True,09:15:00,15:30:00,TRADING
2024-06-15,Saturday,June,2024,False,CLOSED,CLOSED,HOLIDAY
2024-06-16,Sunday,June,2024,False,CLOSED,CLOSED,HOLIDAY
2024-06-17,Monday,June,2024,False,CLOSED,CLOSED,HOLIDAY
2024-06-18,Tuesday,June,2024,True,09:15:00,15:30:00,TRADING
2024-06-19,Wednesday,June,2024,True,09:15:00,15:30:00,TRADING
2024-06-20,Thursday,June,2024,True,09:15:00,15:30:00,TRADING
2024-06-21,Friday,June,2024,True,09:15:00,15:30:00,TRADING
2024-06-22,Saturday,June,2024,False,CLOSED,CLOSED,HOLIDAY
2024-06-23,Sunday,June,2024,False,CLOSED,CLOSED,HOLIDAY
2024-06-24,Monday,June,2024,True,09:15:00,15:30:00,TRADING
2024-06-25,Tuesday,June,2024,True,09:15:00,15:30:00,TRADING
2024-06-26,Wednesday,June,2024,True,09:15:00,15:30:00,TRADING
2024-06-27,Thursday,June,2024,True,09:15:00,15:30:00,TRADING
2024-06-28,Friday,June,2024,True,09:15:00,15:30:00,TRADING
2024-06-29,Saturday,June,2024,False,CLOSED,CLOSED,HOLIDAY
2024-06-30,Sunday,June,2024,False,CLOSED,CLOSED,HOLIDAY
2024-07-01,Monday,July,2024,True,09:15:00,15:30:00,TRADING
2024-07-02,Tuesday,July,2024,True,09:15:00,15:30:00,TRADING
2024-07-03,Wednesday,July,2024,True,09:15:00,15:30:00,TRADING
2024-07-04,Thursday,July,2024,True,09:15:00,15:30:00,TRADING
2024-07-05,Friday,July,2024,True,09:15:00,15:30:00,TRADING
2024-07-06,Saturday,July,2024,False,CLOSED,CLOSED,HOLIDAY
2024-07-07,Sunday,July,2024,False,CLOSED,CLOSED,HOLIDAY
2024-07-08,Monday,July,2024,True,09:15:00,15:30:00,TRADING
2024-07-09,Tuesday,July,2024,True,09:15:00,15:30:00,TRADING
2024-07-10,Wednesday,July,2024,True,09:15:00,15:30:00,TRADING
2024-07-11,Thursday,July,2024,True,09:15:00,15:30:00,TRADING
2024-07-12,Friday,July,2024,True,09:15:00,15:30:00,TRADING
2024-07-13,Saturday,July,2024,False,CLOSED,CLOSED,HOLIDAY
2024-07-14,Sunday,July,2024,False,CLOSED,CLOSED,HOLIDAY
2024-07-15,Monday,July,2024,True,09:15:00,15:30:00,TRADING
2024-07-16,Tuesday,July,2024,True,09:15:00,15:30:00,TRADING
2024-07-17,Wednesday,July,2024,False,CLOSED,CLOSED,HOLIDAY
2024-07-18,Thursday,July,2024,True,09:15:00,15:30:00,TRADING
2024-07-19,Friday,July,2024,True,09:15:00,15:30:00,TRADING
2024-07-20,Saturday,July,2024,False,CLOSED,CLOSED,HOLIDAY
2024-07-21,Sunday,July,2024,False,CLOSED,CLOSED,HOLIDAY
2024-07-22,Monday,July,2024,True,09:15:00,15:30:00,TRADING
2024-07-23,Tuesday,July,2024,True,09:15:00,15:30:00,TRADING
2024-07-24,Wednesday,July,2024,True,09:15:00,15:30:00,TRADING
2024-07-25,Thursday,July,2024,True,09:15:00,15:30:00,TRADING
2024-07-26,Friday,July,2024,True,09:15:00,15:30:00,TRADING
2024-07-27,Saturday,July,2024,False,CLOSED,CLOSED,HOLIDAY
2024-07-28,Sunday,July,2024,False,CLOSED,CLOSED,HOLIDAY
2024-07-29,Monday,July,2024,True,09:15:00,15:30:00,TRADING
2024-07-30,Tuesday,July,2024,True,09:15:00,15:30:00,TRADING
2024-07-31,Wednesday,July,2024,True,09:15:00,15:30:00,TRADING
2024-08-01,Thursday,August,2024,True,09:15:00,15:30:00,TRADING
2024-08-02,Friday,August,2024,True,09:15:00,15:30:00,TRADING
2024-08-03,Saturday,August,2024,False,CLOSED,CLOSED,HOLIDAY
2024-08-04,Sunday,August,2024,False,CLOSED,CLOSED,HOLIDAY
2024-08-05,Monday,August,2024,True,09:15:00,15:30:00,TRADING
2024-08-06,Tuesday,August,2024,True,09:15:00,15:30:00,TRADING
2024-08-07,Wednesday,August,2024,True,09:15:00,15:30:00,TRADING
2024-08-08,Thursday,August,2024,True,09:15:00,15:30:00,TRADING
2024-08-09,Friday,August,2024,True,09:15:00,15:30:00,TRADING
2024-08-10,Saturday,August,2024,False,CLOSED,CLOSED,HOLIDAY
2024-08-11,Sunday,August,2024,False,CLOSED,CLOSED,HOLIDAY
2024-08-12,Monday,August,2024,True,09:15:00,15:30:00,TRADING
2024-08-13,Tuesday,August,2024,True,09:15:00,15:30:00,TRADING
2024-08-14,Wednesday,August,2024,True,09:15:00,15:30:00,TRADING
2024-08-15,Thursday,August,2024,False,CLOSED,CLOSED,HOLIDAY
2024-08-16,Friday,August,2024,True,09:15:00,15:30:00,TRADING
2024-08-17,Saturday,August,2024,False,CLOSED,CLOSED,HOLIDAY
2024-08-18,Sunday,August,2024,False,CLOSED,CLOSED,HOLIDAY
2024-08-19,Monday,August,2024,True,09:15:00,15:30:00,TRADING
2024-08-20,Tuesday,August,2024,True,09:15:00,15:30:00,TRADING
2024-08-21,Wednesday,August,2024,True,09:15:00,15:30:00,TRADING
2024-08-22,Thursday,August,2024,True,09:15:00,15:30:00,TRADING
2024-08-23,Friday,August,2024,True,09:15:00,15:30:00,TRADING
2024-08-24,Saturday,August,2024,False,CLOSED,CLOSED,HOLIDAY
2024-08-25,Sunday,August,2024,False,CLOSED,CLOSED,HOLIDAY
2024-08-26,Monday,August,2024,False,CLOSED,CLOSED,HOLIDAY
2024-08-27,Tuesday,August,2024,True,09:15:00,15:30:00,TRADING
2024-08-28,Wednesday,August,2024,True,09:15:00,15:30:00,TRADING
2024-08-29,Thursday,August,2024,True,09:15:00,15:30:00,TRADING
2024-08-30,Friday,August,2024,True,09:15:00,15:30:00,TRADING
2024-08-31,Saturday,August,2024,False,CLOSED,CLOSED,HOLIDAY
2024-09-01,Sunday,September,2024,False,CLOSED,CLOSED,HOLIDAY
2024-09-02,Monday,September,2024,True,09:15:00,15:30:00,TRADING
2024-09-03,Tuesday,September,2024,True,09:15:00,15:30:00,TRADING
2024-09-04,Wednesday,September,2024,True,09:15:00,15:30:00,TRADING
2024-09-05,Thursday,September,2024,True,09:15:00,15:30:00,TRADING
2024-09-06,Friday,September,2024,True,09:15:00,15:30:00,TRADING
2024-09-07,Saturday,September,2024,False,CLOSED,CLOSED,HOLIDAY
2024-09-08,Sunday,September,2024,False,CLOSED,CLOSED,HOLIDAY
2024-09-09,Monday,September,2024,True,09:15:00,15:30:00,TRADING
2024-09-10,Tuesday,September,2024,True,09:15:00,15:30:00,TRADING
2024-09-11,Wednesday,September,2024,True,09:15:00,15:30:00,TRADING
2024-09-12,Thursday,September,2024,True,09:15:00,15:30:00,TRADING
2024-09-13,Friday,September,2024,True,09:15:00,15:30:00,TRADING
2024-09-14,Saturday,September,2024,False,CLOSED,CLOSED,HOLIDAY
2024-09-15,Sunday,September,2024,False,CLOSED,CLOSED,HOLIDAY
2024-09-16,Monday,September,2024,False,CLOSED,CLOSED,HOLIDAY
2024-09-17,Tuesday,September,2024,True,09:15:00,15:30:00,TRADING
2024-09-18,Wednesday,September,2024,True,09:15:00,15:30:00,TRADING
2024-09-19,Thursday,September,2024,True,09:15:00,15:30:00,TRADING
2024-09-20,Friday,September,2024,True,09:15:00,15:30:00,TRADING
2024-09-21,Saturday,September,2024,False,CLOSED,CLOSED,HOLIDAY
2024-09-22,Sunday,September,2024,False,CLOSED,CLOSED,HOLIDAY
2024-09-23,Monday,September,2024,True,09:15:00,15:30:00,TRADING
2024-09-24,Tuesday,September,2024,True,09:15:00,15:30:00,TRADING
2024-09-25,Wednesday,September,2024,True,09:15:00,15:30:00,TRADING
2024-09-26,Thursday,September,2024,True,09:15:00,15:30:00,TRADING
2024-09-27,Friday,September,2024,True,09:15:00,15:30:00,TRADING
2024-09-28,Saturday,September,2024,False,CLOSED,CLOSED,HOLIDAY
2024-09-29,Sunday,September,2024,False,CLOSED,CLOSED,HOLIDAY
2024-09-30,Monday,September,2024,True,09:15:00,15:30:00,TRADING
2024-10-01,Tuesday,October,2024,True,09:15:00,15:30:00,TRADING
2024-10-02,Wednesday,October,2024,False,CLOSED,CLOSED,HOLIDAY
2024-10-03,Thursday,October,2024,True,09:15:00,15:30:00,TRADING
2024-10-04,Friday,October,2024,True,09:15:00,15:30:00,TRADING
2024-10-05,Saturday,October,2024,False,CLOSED,CLOSED,HOLIDAY
2024-10-06,Sunday,October,2024,False,CLOSED,CLOSED,HOLIDAY
2024-10-07,Monday,October,2024,True,09:15:00,15:30:00,TRADING
2024-10-08,Tuesday,October,2024,True,09:15:00,15:30:00,TRADING
2024-10-09,Wednesday,October,2024,True,09:15:00,15:30:00,TRADING
2024-10-10,Thursday,October,2024,True,09:15:00,15:30:00,TRADING
2024-10-11,Friday,October,2024,True,09:15:00,15:30:00,TRADING
2024-10-12,Saturday,October,2024,False,CLOSED,CLOSED,HOLIDAY
2024-10-13,Sunday,October,2024,False,CLOSED,CLOSED,HOLIDAY
2024-10-14,Monday,October,2024,False,CLOSED,CLOSED,HOLIDAY
2024-10-15,Tuesday,October,2024,False,CLOSED,CLOSED,HOLIDAY
2024-10-16,Wednesday,October,2024,True,09:15:00,15:30:00,TRADING
2024-10-17,Thursday,October,2024,True,09:15:00,15:30:00,TRADING
2024-10-18,Friday,October,2024,True,09:15:00,15:30:00,TRADING
2024-10-19,Saturday,October,2024,False,CLOSED,CLOSED,HOLIDAY
2024-10-20,Sunday,October,2024,False,CLOSED,CLOSED,HOLIDAY
2024-10-21,Monday,October,2024,True,09:15:00,15:30:00,TRADING
2024-10-22,Tuesday,October,2024,True,09:15:00,15:30:00,TRADING
2024-10-23,Wednesday,October,2024,True,09:15:00,15:30:00,TRADING
2024-10-24,Thursday,October,2024,True,09:15:00,15:30:00,TRADING
2024-10-25,Friday,October,2024,True,09:15:00,15:30:00,TRADING
2024-10-26,Saturday,October,2024,False,CLOSED,CLOSED,HOLIDAY
2024-10-27,Sunday,October,2024,False,CLOSED,CLOSED,HOLIDAY
2024-10-28,Monday,October,2024,True,09:15:00,15:30:00,TRADING
2024-10-29,Tuesday,October,2024,True,09:15:00,15:30:00,TRADING
2024-10-30,Wednesday,October,2024,True,09:15:00,15:30:00,TRADING
2024-10-31,Thursday,October,2024,True,09:15:00,15:30:00,TRADING
2024-11-01,Friday,November,2024,False,CLOSED,CLOSED,HOLIDAY
2024-11-02,Saturday,November,2024,False,CLOSED,CLOSED,HOLIDAY
2024-11-03,Sunday,November,2024,False,CLOSED,CLOSED,HOLIDAY
2024-11-04,Monday,November,2024,True,09:15:00,15:30:00,TRADING
2024-11-05,Tuesday,November,2024,True,09:15:00,15:30:00,TRADING
2024-11-06,Wednesday,November,2024,True,09:15:00,15:30:00,TRADING
2024-11-07,Thursday,November,2024,True,09:15:00,15:30:00,TRADING
2024-11-08,Friday,November,2024,True,09:15:00,15:30:00,TRADING
2024-11-09,Saturday,November,2024,False,CLOSED,CLOSED,HOLIDAY
2024-11-10,Sunday,November,2024,False,CLOSED,CLOSED,HOLIDAY
2024-11-11,Monday,November,2024,True,09:15:00,15:30:00,TRADING
2024-11-12,Tuesday,November,2024,True,09:15:00,15:30:00,TRADING
2024-11-13,Wednesday,November,2024,True,09:15:00,15:30:00,TRADING
2024-11-14,Thursday,November,2024,True,09:15:00,15:30:00,TRADING
